pr,kind,path,review_url,status,commits,evidence
976,inline,apps/backend/app/config.py,https://github.com/srbhr/Resume-Matcher/pull/976#discussion_r3941696900,fixed,aaa4b145a9cb24b020496b0e89e4b7a883d9b1ec,"Shared get_config_path now owns cache and router reads; path-keyed cache follows override changes. Four red regressions, 41 config tests green."
976,inline,apps/backend/app/config.py,https://github.com/srbhr/Resume-Matcher/pull/976#discussion_r3941711828,duplicate,aaa4b145a9cb24b020496b0e89e4b7a883d9b1ec,Same resolver defect as3941696900; fixed with shared path and cache ownership.
976,inline,apps/backend/tests/conftest.py,https://github.com/srbhr/Resume-Matcher/pull/976#discussion_r3941711830,already-resolved,,"PR990 adds tests/evals/conftest.py: paid_eval_network restores original socket functions only for eval-marked cases with RM_RUN_PAID_EVAL=1. Isolated data remains intentional. Explicit keyless eval selection returns two skips, not blocked-socket failures; default tests keep network denial."
976,inline,apps/backend/app/config.py,https://github.com/srbhr/Resume-Matcher/pull/976#discussion_r3941711834,fixed,aaa4b145a9cb24b020496b0e89e4b7a883d9b1ec,"After replacing the snapshot, POSIX directory metadata is fsynced. Regression observes the new complete JSON at directory sync; Windows keeps atomic replace without unsupported directory fsync."
976,inline,apps/backend/tests/conftest.py,https://github.com/srbhr/Resume-Matcher/pull/976#discussion_r3941732055,already-resolved,,"Same opt-in eval concern as3941711830, resolved by later PR990 and updated eval README. Real encrypted key stores must remain excluded; explicit provider environment settings are documented."
976,inline,apps/backend/app/config.py,https://github.com/srbhr/Resume-Matcher/pull/976#discussion_r3941732060,fixed,aaa4b145a9cb24b020496b0e89e4b7a883d9b1ec,Existing symlink targets and permission modes survive atomic saves; newly created config files remain owner-only. Real-filesystem regression passes.
976,inline,apps/backend/app/config.py,https://github.com/srbhr/Resume-Matcher/pull/976#discussion_r3941732063,duplicate,aaa4b145a9cb24b020496b0e89e4b7a883d9b1ec,Same resolver defect as3941696900; fixed for cache/router readers.
976,inline,apps/backend/tests/integration/test_config_api.py,https://github.com/srbhr/Resume-Matcher/pull/976#discussion_r3941732064,fixed,aaa4b145a9cb24b020496b0e89e4b7a883d9b1ec,"Both route persistence tests assert complete non-secret snapshots, including model and required api_base."
976,review,,https://github.com/srbhr/Resume-Matcher/pull/976#pullrequestreview-5122600786,not-actionable,,Tool summary of associated inline findings; no additional concrete code request. All associated inline findings receive individual dispositions.
976,review,,https://github.com/srbhr/Resume-Matcher/pull/976#pullrequestreview-5122615372,not-actionable,,Tool summary of associated inline findings; no additional concrete code request. All associated inline findings receive individual dispositions.
976,comment,,https://github.com/srbhr/Resume-Matcher/pull/976#issuecomment-5554100998,not-actionable,,Tool summary of associated inline findings; no additional concrete code request. All associated inline findings receive individual dispositions.
